index,Instance,Capacity,Deterministic,Stochastic 1,Stochastic 2,Stochastic 3,Stochastic 4,Stochastic 5,Stochastic 6,Stochastic 7,Stochastic 8,Stochastic 9,Stochastic 10,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10
0,Kelly01,550,7684.672086463003,7788.485955503518,7558.444122688515,8075.975420923861,7466.388526270911,8090.219755343758,7215.296589197249,7490.087458194876,7873.323229779777,7584.114071879866,7475.391735346662,1.350921260822424,-1.6425940151284604,5.091997811463694,-2.840505850296613,5.277358152928224,-6.107944385715386,-2.5321136162842897,2.4549016691173247,-1.308553097018623,-2.723347837899298
1,Kelly02,700,12832.816420465559,12018.094826430877,11496.076396610815,11905.398268470157,12121.632635271899,11631.45751906457,11799.736366274034,11717.898836622831,11769.506106334353,12348.200278925071,11815.398933546288,-6.3487356737635325,-10.416575598501767,-7.226926043423881,-5.541915055057406,-9.361615268532024,-8.050298705621522,-8.688019428569675,-8.285868661188486,-3.776381782939169,-7.92824781079787
2,Kelly03,900,17999.638653794063,16657.34864738335,17724.449116297827,17369.223460167774,17484.543758371736,17131.315920161975,16629.10494692434,16928.87036360604,16827.31178288603,16526.580321763602,16583.115790581192,-7.45731640633673,-1.5288614554394453,-3.502376940736015,-2.861695755840927,-4.824112029877105,-7.614229003318543,-5.948832144818192,-6.5130578088628654,-8.183821688664633,-7.869729445453554
3,Kelly04,1000,24568.324967619257,23388.884051479,22963.099605334315,23065.679360579692,22812.88914426397,22922.129969136036,23028.953193274097,22852.52539826688,23513.02503989697,23250.354049702997,23443.516102443155,-4.800656608436865,-6.533719186800926,-6.116190700912794,-7.145118056151288,-6.700477141412306,-6.265676542352937,-6.983787342498031,-4.295367832821977,-5.364512719745156,-4.578288778981012
4,Kelly05,900,12028.702184019385,12017.518818419629,10938.325017496856,12002.226581174657,11735.229255389717,12194.897625720061,11762.609498694468,11508.917041543973,11796.828690064756,11786.135175354188,11570.849406349786,-0.09297233756949852,-9.064794770387936,-0.220103569277009,-2.439772172758242,1.3816572990016638,-2.2121479213146658,-4.32120718032214,-1.9276684251330265,-2.0165684124049323,-3.8063356350934936
5,Kelly06,900,15111.888707643884,14565.059328449563,13919.270489830576,14271.6602342343,14319.525958653445,14518.977402636709,13592.859222918423,14070.627915317138,13972.924872831996,14250.170741672931,14468.278405523348,-3.6185376280446313,-7.891920334286597,-5.5600493734749445,-5.243307202160952,-3.923475857172437,-10.051883746054235,-6.890341852504884,-7.536872834669422,-5.702251933175495,-4.258966662419806
6,Kelly07,900,17755.142751101666,16778.966300101205,16174.199062042131,16427.463749473132,15792.964844345111,16246.040028472164,15980.063752234128,15898.464329740558,16770.049332199633,16435.52916039433,15986.647869646655,-5.497992692510973,-8.9041451889281,-7.477715162533147,-11.051321491824142,-8.499524581608146,-9.997548449771822,-10.457130350280655,-5.548214580482101,-7.432289389086762,-9.960465574658816
7,Kelly08,900,19181.404714715936,17428.923084952054,18379.865303689843,18303.918332988414,17722.800596810917,17864.38016804219,17699.020624209552,17422.822784326934,16845.9290372839,17366.715752060212,18203.13258244424,-9.136357090778562,-4.178731552497579,-4.5746721618063555,-7.604261208179299,-6.866152746692886,-7.7282353016049035,-9.168160291408801,-12.175728066674207,-9.46066771253462,-5.1001068317023135
8,Kelly09,1000,860.0325228060187,732.8725653837233,772.0144823946506,780.3744595356253,750.1659503932693,809.4801876104111,749.3436290632617,750.0649243760907,755.840022484785,738.5608274701166,799.2606876332238,-14.785482414945426,-10.234268830228958,-9.262215225360773,-12.774699735108731,-5.877956223175265,-12.870314878513385,-12.786446502178533,-12.114948860455417,-14.124081603283766,-7.066225236984678
9,Kelly10,1000,1055.2057738651574,976.8292312439513,993.5392127460796,959.1202804086727,946.7450360883706,909.1328594248297,976.6589112486004,912.3379111420966,965.0700402350913,986.0372166924582,921.2355970927713,-7.427607445144789,-5.844031813169183,-9.105853648291667,-10.278633842146393,-13.84307384002185,-7.443748372305097,-13.539336711525392,-8.542005347440833,-6.554982818122654,-12.696118623542134
10,Kelly11,1000,1271.1048315421099,1234.0537921068778,1159.6325144153775,1150.3918380650655,1135.9685929399209,1162.07102884095,1176.5172142164965,1124.472331730947,1086.9380029872,1122.593629021851,1158.1539867445533,-2.9148689011182154,-8.769718622774306,-9.496698500515876,-10.631399963938547,-8.577876505187977,-7.4413702928702765,-11.535830576087713,-14.48872067707255,-11.68363134455908,-8.88603693375346
11,Kelly12,1000,1476.7572601733457,1397.2143571923611,1395.3236201631914,1321.1070978233213,1376.1465856929374,1433.2580506945667,1358.757597632325,1382.2157985886038,1366.8057027924558,1376.0227810248011,1439.7512116064752,-5.386322121189204,-5.514355148698938,-10.539996419706362,-6.8129459860314725,-2.945589681656479,-7.990457587265864,-6.401963554500784,-7.445472613961178,-6.821329535005644,-2.5058992134243265
12,Kelly13,1000,945.2476279801456,938.3260121937413,929.1238167348264,960.515861376265,894.3677202584635,988.5774682912213,890.2837143555699,942.9481419436183,890.2325126680728,938.3045934991023,947.9668008156357,-0.7322542349241015,-1.7057764302221408,1.6152628098888073,-5.382706733727009,4.583967103272735,-5.814763454315711,-0.2432681096953296,-5.820180202898997,-0.7345201696913517,0.28766777667568116
13,Kelly14,1000,1335.679598463283,1125.361188834774,1225.1638680224949,1210.2738565757484,1117.830700743718,1192.6786467273482,1166.5098292625182,1179.3433780646747,1221.8449316585852,1252.8930964466906,1217.4438938397495,-15.746172201064006,-8.27411982394115,-9.388908989237802,-16.309966699364356,-10.706231636723297,-12.66544532052423,-11.70461992370589,-8.522602796034768,-6.198080895436245,-8.852100815162942
14,Kelly15,1000,1542.048881450148,1477.5881802825686,1399.7378739224014,1435.0325686194794,1444.9750789430511,1463.3749625373966,1467.9244910835364,1523.482027592043,1459.0058652334174,1429.6341321146967,1507.2233827764771,-4.180198302595979,-9.228696265057229,-6.939878113982355,-6.295118376261089,-5.101908237744455,-4.8068768285026575,-1.2040379576453208,-5.385238899731679,-7.289960174915858,-2.2583913579263983
15,Kelly16,1000,1817.4292253067367,1726.7533146226406,1731.4366467595569,1806.6911582054688,1835.4640777808,1762.1484130576232,1743.3273936849234,1804.9525545262163,1762.6995070974826,1772.1028374679129,1749.0886522474177,-4.9892402642965274,-4.731550332182341,-0.5908382539328648,0.9923276363633564,-3.0417037142001226,-4.077288435224032,-0.6865010536195519,-3.0113809906417166,-2.49398365601686,-3.760287999538735
16,Kelly17,200,703.9556929857599,756.0011071462378,737.8473559291261,785.5965404379033,802.1309744202603,712.9443892390497,768.384752093233,773.6945367609143,761.3439824903459,710.1905431848284,752.0304751415581,7.3932798156276425,4.8144596714060235,11.597441183531254,13.946230197826711,1.2768838071562496,9.152431005167882,9.906709253158219,8.15225873963446,0.8856878722897913,6.829234088852047
17,Kelly18,200,971.4435791510792,1002.5669066525516,1015.8121628049583,1062.5265976021815,1049.879912447312,1046.824217007322,1024.9556126884718,1063.8773563990103,1067.26438948038,1062.2583442738467,1024.2158104355296,3.203822452423869,4.567283639123101,9.376048224097325,8.07420368816236,7.75965166418785,5.508506586059831,9.515094775623169,9.863754559275204,9.348434337496803,5.432351648313613
18,Kelly19,200,1262.2872881809533,1400.3922759436996,1418.9219790444297,1386.3455498558665,1294.518745774579,1375.7216572535206,1389.2574776508343,1394.48196069476,1358.6891869195695,1396.6149305859024,1397.304055340927,10.94085229692565,12.408798878835123,9.82805283999097,2.5534169515462315,8.986414593149739,10.05873945327091,10.472629626517799,7.63708069004943,10.641606206660361,10.696199543809293
19,Kelly20,200,1712.6142756539155,1755.7811764441465,1772.8088760018395,1752.8883962157809,1877.9036107769275,1822.6178416618188,1780.3179347813025,1794.9205879138572,1812.932764078456,1685.2725898093906,1842.5907193665207,2.520526741127911,3.5147786167402097,2.3516165393686106,9.651287944560709,6.4231372803371904,3.953234542643072,4.805887316834099,5.857623041606187,-1.5964882596862118,7.589358886021037
